country_code	name	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	include_code
24	Angola	0	0	0	0	0	0	0.2338	23.8738	67.8444	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
44	Bahamas	0	0	0	0	0	0	13.5717	47.1535	76.4915	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
84	Belize	0	0	0	0	0	0	3.29	45.622	74.948	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
204	Benin	0	0	0	0	0	0	16.6975	65.9024	91.9371	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
72	Botswana	0	0	0	0	0	10.6	26.6	86.2	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
854	Burkina Faso	0	0	0	0	0	0	3.2206	53.4017	87.3699	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
108	Burundi	0	0	0	0	0	0	2.9857	25.6951	55.0146	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	73.3528	1
120	Cameroon	0	0	0	0	0	0	5.5729	33.6284	71.1699	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
140	Central African Republic	0	0	0	0	0	0	0.3762	17.6344	56.4817	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	75.3089	1
148	Chad	0	0	0	0	0	0	0.4772	31.2517	81.218	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
178	Congo	0	0	0	0	0	0	0	36.1816	67.6431	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
384	Cote d'Ivoire	0	0	0	0	0	0	1.0557	30.1051	72.2872	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	1
262	Djibouti	0	0	0	0	0	0	1.4771	21.6655	41.0181	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	54.6909	1
