country_code	name	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	include_code
24	Angola	0	0	0.0117	0.1463	0.9561	1.7645	1.8824	1.9412	1.9805	1.944	1.8861	1.8189	1.7456	1.6673	1.58	1.4826	1.3752	1.2581	1.1336	1.0038	0.8716	0.7394	0.61	0.4859	0.3698	0.2542	1
44	Bahamas	0	0.0152	0.2505	1.9401	3.711	3.5382	3.1954	3.0572	2.9304	2.8155	2.6686	2.5554	2.5023	2.4759	2.4353	2.3633	2.2656	2.1585	2.0622	1.9844	1.9223	1.8644	1.8004	1.7266	1.6464	1.559	1
84	Belize	0	0	0.0196	0.1479	0.7878	1.856	2.2961	2.3624	2.2802	2.2203	2.1512	2.0696	1.9822	1.8893	1.7912	1.6858	1.5693	1.4402	1.3009	1.1539	1.0024	0.8492	0.6972	0.5494	0.409	0.2679	1
204	Benin	0	0.0013	0.0161	0.1141	0.5721	1.2675	1.3806	1.2218	1.1094	1.0098	0.9126	0.8288	0.7575	0.6924	0.6293	0.5676	0.5074	0.4486	0.3918	0.3373	0.2857	0.2375	0.193	0.1522	0.1153	0.0794	1
72	Botswana	0	0	0.083	0.9843	7.7185	21.8619	26.1222	25.1396	24.2754	22.9639	21.4083	19.9354	18.5877	17.2514	15.8592	14.3987	12.8928	11.3819	9.9052	8.4935	7.1654	5.9363	4.8227	3.8383	2.9896	2.2127	1
854	Burkina Faso	0	0.0094	0.2546	2.3231	3.7905	2.9501	1.9443	1.384	1.2274	1.2385	1.3238	1.428	1.5047	1.5278	1.498	1.4289	1.3351	1.2274	1.1137	0.9975	0.8811	0.7664	0.654	0.5449	0.4392	0.3275	1
108	Burundi	0	0.0198	0.2249	1.7678	5.0646	5.7253	4.7047	3.6255	3.0473	2.8595	2.7252	2.6242	2.5906	2.5877	2.5489	2.4428	2.2741	2.069	1.8563	1.6501	1.4504	1.2524	1.0515	0.8447	0.6285	0.367	1
120	Cameroon	0	0	0.0108	0.192	1.8689	4.9617	5.4718	5.3301	5.2112	5.0765	4.8987	4.705	4.5033	4.2811	4.0392	3.7828	3.5134	3.2332	2.9436	2.6457	2.3428	2.0384	1.7371	1.444	1.1622	0.8689	1
140	Central African Republic	0	0.0036	0.1062	1.1547	6.1824	9.9643	8.3747	5.9592	3.9008	2.6311	2.0611	1.8531	1.7435	1.596	1.5028	1.4569	1.3841	1.3173	1.2791	1.2228	1.1898	1.1849	1.1976	1.1944	1.1887	1.1438	1
148	Chad	0.0081	0.0367	0.141	0.4962	1.3907	2.593	3.2822	3.4345	3.2087	2.9717	2.7453	2.5506	2.3842	2.2183	2.0418	1.8591	1.6731	1.4847	1.2958	1.1085	0.9254	0.7496	0.584	0.4307	0.2917	0.1571	1
178	Congo	0.0018	0.0646	0.8408	3.788	4.8941	4.175	3.6056	3.3937	3.125	3.007	2.9181	2.7953	2.6532	2.4891	2.3052	2.1152	1.9314	1.7612	1.609	1.4739	1.3531	1.2433	1.1414	1.0446	0.9499	0.8454	1
