"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
1	"WORLD"	900	47.97	50.94	53.72	57.58	59.83	61.99	63.67	65.19	66.22	67.38	68.61	69.82
2	"More developed regions"	901	68.44	70.93	72.71	73.7	74.67	75.72	76.51	77.43	77.92	78.62	79.48	80.5
3	"Less developed regions"	902	41.84	44.99	48.21	52.99	55.75	58.31	60.27	62.01	63.35	64.76	66.15	67.41
4	"Least developed countries"	941	37.09	39.33	41.41	43.61	45.45	47.01	49.17	50.86	51.72	53.44	55.28	57.17
5	"Less developed regions, excluding least developed countries"	934	42.57	45.86	49.28	54.51	57.5	60.33	62.32	64.1	65.61	67.08	68.44	69.64
6	"Less developed regions, excluding China"	948	41.63	44.5	47.34	50.14	52.82	55.71	58.05	59.92	61.34	62.75	64.11	65.49
7	"Sub-Saharan Africa"	947	39.07	41.01	42.97	44.71	46.63	48.63	49.85	50.8	50.71	50.96	51.22	52.55
8	"AFRICA"	903	39.95	41.98	44.02	45.88	47.93	50.14	51.71	53	53.16	53.57	53.98	55.29
9	"Eastern Africa"	910	38.74	41.19	43.83	45.87	47.87	49.33	50	51.19	50.28	51.26	51.54	54.11
10	"Burundi"	108	40.59	42.09	43.61	45.12	45.63	47.43	49.18	49.79	46.18	47.26	49.21	51.72
11	"Comoros"	174	42	44	46	48	51	53	55	57	59.94	62.69	65.11	67.4
12	"Djibouti"	262	36.41	38.95	41.26	43.66	45.94	48.02	50.05	51.61	53.18	54.89	55.32	56.66
13	"Eritrea"	232	37.54	39.79	41.99	44.1	46.1	46.5	46	48.62	52.33	56.69	59.51	61.61
14	"Ethiopia"	231	35.38	38.08	41.61	43.68	45.04	46.04	44.96	47.41	49.58	51.93	54.03	56.45
15	"Kenya"	404	44.15	46.54	50.14	52.87	55.76	58.25	60.73	61.38	61.44	56.55	52.31	54.53
16	"Madagascar"	450	36.99	39.38	41.48	43.57	45.86	47.95	50.3	50.6	54	56.77	59.24	61.76
17	"Malawi"	454	36.7	37.7	39	40.15	42.5	44.6	46.8	48.68	52.2	53.96	51.72	53.84
18	"Mauritius"	480	52.28	60.09	61.91	63.54	65.31	67.58	69.32	72.2	73.34	74.68	75.37	75.77
19	"Mayotte"	175	55.6	58.3	60.95	64.05	68.1	71.3	74.5	76.5	78.3	78.96	79.64	80.16
20	"Mozambique"	508	32.5	35.09	37.57	39.63	41.92	44.12	44.31	44.4	45.88	48.94	49.08	48.65
21	"Reunion"	638	55.6	58.3	60.95	64.05	68.1	71.3	74.5	76.5	78.3	78.97	79.95	80.54
