"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
1	"WORLD"	900	45.23	48.07	50.98	54.59	56.59	58.32	59.75	61.18	61.88	63	64.21	65.41
2	"More developed regions"	901	63.43	65.47	66.68	67.18	67.72	68.41	69.11	70.34	70.26	71.34	72.19	73.56
3	"Less developed regions"	902	40.26	43.37	46.86	51.47	53.99	56.1	57.74	59.23	60.24	61.46	62.78	63.91
4	"Least developed countries"	941	35.75	37.86	39.79	41.74	43.33	44.81	46.88	48.43	49.12	50.8	52.75	54.67
5	"Less developed regions, excluding least developed countries"	934	40.94	44.2	47.95	53.03	55.78	58.1	59.71	61.21	62.37	63.64	64.9	65.96
6	"Less developed regions, excluding China"	948	40.76	43.53	46.12	48.64	50.95	53.4	55.34	57.06	58.06	59.31	60.63	61.9
7	"Sub-Saharan Africa"	947	36.48	38.32	40.15	41.79	43.65	45.57	46.71	47.59	47.48	47.92	48.76	50.38
8	"AFRICA"	903	37.52	39.45	41.37	43.14	45.1	47.18	48.66	49.86	49.98	50.52	51.4	52.93
9	"Eastern Africa"	910	36.07	38.39	40.85	42.85	44.79	46.22	46.86	47.84	46.69	47.95	49.11	52.16
10	"Burundi"	108	37.46	38.95	40.44	41.92	42.42	44.17	45.66	46.3	43.17	44.61	46.68	48.81
11	"Comoros"	174	39.5	41	43	45	47	49	51	53	56.1	58.67	60.89	62.97
12	"Djibouti"	262	33.3	35.78	38.19	40.56	42.86	45.09	47.13	48.62	50.09	51.69	52.37	53.88
13	"Eritrea"	232	34.38	36.38	38.41	40.38	42.3	42.7	42	44.37	47.86	51.93	54.72	56.95
14	"Ethiopia"	231	32.8	35.3	38.57	40.63	42.06	43.06	42.04	44.42	46.53	48.75	51.01	53.58
15	"Kenya"	404	40.53	42.98	45.96	48.67	51.6	54.3	57.04	57.58	57.56	53.48	51.01	53.7
16	"Madagascar"	450	36.39	38.39	40.28	42.28	43.97	45.97	48.2	48.4	51.4	53.87	56.2	58.54
17	"Malawi"	454	35.8	36.7	37.8	38.8	41	42.9	44.81	46.41	49.57	50.43	48.47	51.83
18	"Mauritius"	480	49.74	56.17	58.66	59.66	60.68	62.4	63.9	65.04	65.96	66.88	68.3	68.53
19	"Mayotte"	175	49.7	51.8	54.35	57.05	60.4	62.85	65.35	67.35	69.35	70.56	71.27	72.06
20	"Mozambique"	508	30.1	32.5	34.79	36.64	38.79	40.93	41.25	41.34	42.74	45.52	46.15	46.94
21	"Reunion"	638	49.7	51.8	54.35	57.05	60.4	62.85	65.35	67.35	69.35	70.56	71.53	72.32
22	"Rwanda"	646	38.45	39.94	41.42	42.51	43.01	43.4	44.43	42.07	21.99	36.6	44.37	48.07
23	"Somalia"	706	31.54	33.51	35.49	37.47	39.45	40.44	42.4	44.4	41.8	45.3	47.8	48.18
24	"Uganda"	800	38.46	41.06	43.82	46.58	49.56	48.75	48.3	47.66	44.57	44.29	47.64	51.81
25	"United Republic of Tanzania"	834	39.58	41.34	42.6	44.12	45.99	47.92	48.95	49.53	48.45	48.53	51.1	54.59
26	"Zambia"	894	40.59	42.58	44.58	46.28	48.54	49.99	50.32	50.21	47.86	42.39	40.85	44.59
27	"Zimbabwe"	716	46.96	48.95	50.84	52.44	54.03	55.87	58.29	58.87	54.45	43.99	39.37	43.4
28	"Middle Africa"	911	35.45	37.24	38.98	40.71	42.73	44.36	46.16	46.84	46.76	45.18	46.37	46.79
29	"Angola"	24	28.6	30.55	32.53	34.5	36.47	38.45	39.29	39.79	40.69	41.21	42.55	44.86
30	"Cameroon"	120	37.21	39.13	41.35	43.52	45.77	48.06	51.21	53.51	52.86	51.31	50.06	50.4
31	"Central African Republic"	140	32.03	34	35.98	38.45	41.99	45.01	47.01	47.05	46.35	44.96	44.05	45.36
32	"Chad"	148	36.23	38.01	39.83	41.7	43.65	45.26	47.52	49.17	49.36	48.43	47.26	47.4
33	"Congo"	178	41.78	45.28	48.42	51.35	54.21	56.91	58.56	58.29	55.98	52.77	52.12	52.58
34	"Democratic Republic of the Congo"	180	37.53	39.01	40.27	41.38	43	44.04	45.64	45.9	45.74	43.58	46.04	45.9
35	"Equatorial Guinea"	226	33.03	34.51	36	37.48	38.99	40.48	42.11	44.13	46.09	47.15	47.42	48.89
36	"Gabon"	266	35.48	37.46	38.94	43.05	47.14	50.77	54.93	58.71	59.42	58.78	57.34	58.97
37	"Sao Tome and Principe"	678	45.15	47.6	50.5	53	55	57.1	59	60.35	61.2	61.7	62.53	63.57
38	"Northern Africa"	912	41.79	43.83	45.91	48.24	50.65	53.41	56.41	59.25	61.48	63.49	65.04	66.23
39	"Algeria"	12	42.1	44.7	47.3	50.4	53.5	57	60.2	64.7	66.55	67.87	69.72	70.86
40	"Egypt"	818	42.1	44.1	46.1	48.4	50.8	53.8	57	60.2	62.9	65.7	67.3	68.29
41	"Libyan Arab Jamahiriya"	434	41.9	44.3	46.7	49	51.4	56	60.6	64.5	66.9	69.3	70.48	71.7
42	"Morocco"	504	41.9	44.3	46.7	49	51.4	54.1	58	60.9	63.5	65.6	67.5	68.96
43	"Sudan"	736	39.97	40.98	42.24	44.07	45.8	47.33	48.83	50.2	51.98	53.73	55.11	56.45
44	"Tunisia"	788	44.1	46.6	49.1	51.6	55.1	58.8	62.7	65.33	68.3	70.07	71.07	71.89
45	"Western Sahara"	732	34.01	35.98	37.96	39.9	41.9	46.18	50.47	54.75	57.25	59.75	62.25	64.26
