"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1	"World"	900	48.65862472	51.00521693	53.09800847	57.82831466	60.41662764	62.64087587	64.3316444	65.76228204	66.629549	67.46567807	68.65407251	70.13728688	71.59082669	72.75433152	73.79445046	74.78631257	75.70719474	76.54487104	77.31923246	78.03126455	78.69519487	79.30288722	79.86034164	80.39489288	80.91001104	81.40681803	81.89458482	82.37759792	82.8567518	83.33391711
2	"More developed regions"	901	68.36587599	70.9051638	72.69244141	73.71627271	74.58047629	75.67078379	76.55234437	77.45913797	77.95012567	78.53127996	79.29144835	80.42220494	81.29707547	82.03589563	82.72747332	83.3718127	83.96960136	84.53053543	85.08606509	85.63222353	86.18326782	86.72038417	87.24689383	87.77375275	88.30786331	88.85548929	89.39051103	89.90350966	90.39719689	90.88541848
3	"Less developed regions"	902	42.67343068	45.10824738	47.43187305	53.21657764	56.48865899	59.09187769	61.11268472	62.75842497	63.89148193	64.93022536	66.24319896	67.76973275	69.3695778	70.67724497	71.85227007	72.97832151	74.0271825	74.98183751	75.85976097	76.6623116	77.4000602	78.06893531	78.67547915	79.2493156	79.79490747	80.31092069	80.80970057	81.29841474	81.78103341	82.26056028
4	"Least developed countries"	941	38.00537693	40.20234868	42.19438826	44.19427902	43.96246908	47.69057571	49.65370642	51.20419585	51.85230177	53.49570648	55.52078539	57.87621617	60.06093759	61.90049424	63.62495089	65.32501985	66.93356663	68.44670515	69.86149057	71.16435725	72.34638607	73.41321814	74.38295185	75.27190718	76.08621037	76.8496036	77.57494217	78.26476989	78.92870693	79.56559557
5	"Other less developed countries"	934	43.38046718	45.84646341	48.23668017	54.65605101	58.61693893	61.0682193	63.16310683	64.86005218	66.18860788	67.23556179	68.48168983	69.89477365	71.40976956	72.64843429	73.74674191	74.77973418	75.72854178	76.5792065	77.36089423	78.07827526	78.74486958	79.35546306	79.91254466	80.4447649	80.96151062	81.45123561	81.92620302	82.39227289	82.8524627	83.31350732
6	"Less developed regions, excluding China"	948	41.85549468	44.87776443	47.83991394	50.67728921	52.92156757	56.15342629	58.48069384	60.21722879	61.51821517	62.73182054	64.30456677	66.01851503	67.78949059	69.2179904	70.50616943	71.74269636	72.89590371	73.95358527	74.92137583	75.80227233	76.5959535	77.32073785	77.98174437	78.59483024	79.16906949	79.71552867	80.24553798	80.75966332	81.26393096	81.75888165
7	"Sub-Saharan Africa"	947	38.48824789	40.6073232	42.68303748	44.60471698	46.74625492	48.55758121	49.8412041	50.68022985	50.25458606	50.24141281	51.20557329	53.55368134	56.11290514	58.19737133	60.04744048	62.01620386	63.89580321	65.64027468	67.2686085	68.77157422	70.13990482	71.38572557	72.52677636	73.5790505	74.55053243	75.45919885	76.31100391	77.11754161	77.88927411	78.62751833
8	"Africa"	903	39.46832341	41.64731637	43.78072815	45.80098062	48.03689144	50.06812887	51.67692588	52.83687269	52.7758353	52.97834996	54.06005059	56.3244589	58.71033233	60.63908316	62.34502073	64.14469889	65.86517383	67.46465635	68.95455695	70.32235994	71.56004849	72.67830163	73.69212553	74.62352617	75.48319119	76.29170127	77.0576274	77.79155502	78.50069943	79.18305437
9	"Eastern Africa"	910	38.732465	41.19613262	43.87355872	45.92987655	47.92735588	49.42935084	50.17578004	51.04042977	49.53428819	50.53950212	51.68054805	55.34620244	58.49080958	60.60657052	62.50046097	64.35892702	66.00339393	67.46470816	68.80206142	70.03103062	71.14659196	72.17350619	73.14881351	74.08333215	74.97767643	75.84350166	76.68176456	77.49130355	78.27823201	79.0399734
10	"Burundi"	108	40.59	42.09	43.61	45.12	45.63	47.496	49.46	49.72	46.08	46.63	48.1	50.05	52.58	54.77	56.55	58.51	60.56	62.48	64.23	65.87	67.42	68.88	70.22	71.47	72.59	73.64	74.64	75.58	76.47	77.31
