"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"	"last.observed"
1	"Afghanistan"	4	27.6	30.05	32.51	34.95	37.28	39.42	41.83	45.51	49.61	52.72	54.67	57.17	59.49	61.41	63.03	64.51	65.87	67.1	68.22	69.24	70.17	71.03	71.82	72.56	73.25	73.9	74.51	75.1	75.65	76.18	"2008"
2	"Albania"	8	54.4	58.5	63.7	65.1	65.99	68.28	68.45	69.3	68.91	70.15	72.38	73.42	74.23	74.97	75.66	76.32	76.95	77.54	78.12	78.67	79.2	79.72	80.22	80.71	81.19	81.66	82.12	82.57	83.02	83.45	"2008"
3	"Algeria"	12	42.29	44.34	46.55	48.66	50.61	53.99	60.11	64.41	65.63	66.93	67.81	68.75	69.81	70.7	71.51	72.37	73.26	74.07	74.82	75.53	76.2	76.83	77.43	78.01	78.56	79.1	79.63	80.13	80.63	81.12	"2008"
4	"Antigua and Barbuda"	28	56.02	58.44	60.48	62.25	63.87	65.36	66.75	68.04	69.26	70.41	71.51	72.56	73.29	73.91	74.52	75.18	75.86	76.51	77.1	77.69	78.25	78.81	79.34	79.85	80.35	80.83	81.31	81.78	82.24	82.69	"2008"
5	"Argentina"	32	60.42	62.14	62.47	62.75	64.1	65.44	66.82	67.58	68.6	69.65	70.6	71.56	72.45	73.28	74.05	74.75	75.4	75.98	76.52	77	77	77	77	77	77	77	77	77	77	77	"2008"
6	"Armenia"	51	59.73	61.79	63.83	65.95	67.51	67.26	67.66	65.82	64.48	66.78	69.09	70.57	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	77	"2008"
7	"Aruba"	533	59.1	63	64.8	66.4	67.5	68.8	70.5	70.8	71.1	71.2	71.51	72.28	72.99	73.65	74.28	74.95	75.64	76.3	76.93	77.53	78.1	78.66	79.19	79.71	80.22	80.71	81.2	81.67	82.14	82.6	"2008"
8	"Australia"	36	66.8	67.62	67.93	67.8	68.4	70.09	71.79	72.97	74.6	76.03	77.85	79.4	80.31	81.09	81.74	82.27	82.8	83.32	83.83	84.35	84.85	85.36	85.86	86.36	86.86	87.35	87.85	88.34	88.83	89.32	"2008"
9	"Austria"	40	63.56	64.8	66.25	66.67	67.01	68.3	69.4	71.26	72.57	74.04	75.77	77.23	78.47	79.35	80.18	80.86	81.41	81.94	82.47	83	83.52	84.03	84.54	85.05	85.55	86.05	86.55	87.05	87.55	88.04	"2008"
10	"Azerbaijan"	31	54.4	56.36	58.33	60.29	61.76	61.17	61.04	62.15	59.36	62.45	65	67.09	68	69.04	69.99	70.86	71.77	72.71	73.57	74.36	75.09	75.78	76.43	77.05	77.65	78.22	78.77	79.3	79.82	80.32	"2008"
